Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Coeff
MAN UNITED,1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,318
ARSENAL,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,309
CHELSEA,5,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,299
LIVERPOOL,4,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,278
TOTTENHAM,10,12,9,10,15,9,5,5,11,8,4,5,4,5,6,5,3,231
EVERTON,13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,203
MAN CITY,21,18,21,9,16,8,15,14,9,10,5,3,1,2,1,2,4,198
ASTON VILLA,6,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,166
NEWCASTLE,11,11,4,3,5,14,7,13,12,18,21,12,5,16,10,15,18,162
WEST HAM,9,15,7,18,21,21,9,15,10,9,17,20,21,10,13,12,7,123
FULHAM,21,21,13,14,9,13,12,21,17,7,12,8,9,12,19,21,21,107
BLACKBURN,21,21,10,6,15,15,6,10,7,15,10,15,19,21,21,21,21,103
SOUTHAMPTON,15,10,11,8,12,20,21,21,21,21,21,21,21,14,8,7,6,99
BOLTON,21,21,16,17,8,6,8,7,16,13,14,14,18,21,21,21,21,94
SUNDERLAND,7,7,17,20,21,21,20,21,15,16,13,10,13,17,14,16,17,92
MIDDLESBORO,12,14,12,11,11,7,14,12,13,19,21,21,21,21,21,21,21,85
MIDDLESBROUGH,12,14,12,11,11,7,14,12,13,19,21,21,21,21,21,21,21,85
STOKE,21,21,21,21,21,21,21,21,21,12,11,13,14,13,9,9,9,78
LEICESTER,8,13,20,,18,21,21,21,21,21,21,21,21,21,21,14,1,73
BIRMINGHAM,21,21,21,13,10,12,18,,19,21,9,18,21,21,21,21,21,69
CHARLTON,21,9,14,12,7,11,13,19,21,21,21,21,21,21,21,21,21,62
WEST BROM,21,21,21,19,21,17,19,21,21,20,21,11,10,8,17,13,14,62
LEEDS,3,4,5,15,19,21,21,21,21,21,21,21,21,21,21,21,21,59
SWANSEA,21,21,21,21,21,21,21,21,21,21,21,21,11,9,12,8,12,53
PORTSMOUTH,21,21,21,21,13,16,17,9,8,14,20,21,21,21,21,21,21,50
WIGAN,21,21,21,21,21,21,10,21,14,11,16,16,15,18,21,21,21,47
CRYSTAL PALACE,21,21,21,21,21,18,21,21,21,21,21,21,21,21,11,10,15,30
NORWICH,21,21,21,21,21,19,21,21,21,21,21,21,12,11,18,21,19,26
IPSWICH,21,5,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19
READING,21,21,21,21,21,21,21,8,18,21,21,21,21,19,21,20,21,19
HULL,21,21,21,21,21,21,21,21,21,17,19,21,21,21,16,18,21,14
DERBY,16,17,19,21,21,21,21,21,20,21,21,21,21,21,21,21,21,12
WOLVES,21,21,21,21,20,21,21,21,21,21,15,17,20,21,21,21,21,12
WATFORD,20,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21,13,10
COVENTRY,14,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9
BOURNEMOUTH,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,16,5
BRADFORD,17,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,5
BURNLEY,21,21,21,21,21,21,21,21,21,21,18,21,21,21,21,19,21,5
QPR,21,21,21,21,21,21,21,21,21,21,21,21,17,20,21,21,21,5
SHEFFIELD UNITED,19,21,21,21,21,21,21,18,21,21,21,21,21,21,21,21,21,5
WIMBLEDON,18,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,3
BLACKPOOL,21,21,21,21,21,21,21,21,21,21,21,19,21,21,21,21,21,2
CARDIFF,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,1
